Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1766837201990,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2.5175399780273438,1.7786178588867188,5.852714538574219,1.6906661987304688,1.6895751953125,1.6884918212890625,1.6879501342773438,1.6879501342773438,1.687408447265625,51.23895263671875,100,83.3121566772461,1.89697265625,1.7764434814453125,1.7759017944335938,28.56700897216797,16.46849822998047,1.7737274169921875,1.7731857299804688,9.123832702636719,0,78154.60260009766,206026.9375,432.4498291015625,16788910080,13421772800,12458549248,4044365824
199,1766837201990,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,78154.61267089844,206026.9375,432.4498291015625,16788910080,13421772800,12458647552,4044365824
200,1766837202190,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,15.173538208007813,1.1442184448242188,21.62615966796875,1.1307525634765625,7.5223388671875,5.2314300537109375,15.246360778808594,2.9256210327148438,33.293182373046875,74.77217864990234,89.37466430664063,53.15364074707031,16.085174560546875,1.1207046508789063,1.1306533813476563,62.53183364868164,52.982845306396484,1.4104080200195313,1.1239700317382813,16.578994750976563,0,78157.71954345703,206028.87341308594,432.45623779296875,16788910080,13421772800,12500676608,4220215296
200,1766837202391,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,34.83057403564453,0.15421295166015625,38.0557975769043,0.132568359375,0.1520233154296875,0.129425048828125,0.12908172607421875,0.12892913818359375,48.72080993652344,51.30487823486328,68.71794128417969,39.685791015625,32.08201599121094,0.15161895751953125,0.13805389404296875,82.7105712890625,61.24873352050781,0.43880462646484375,0.1292266845703125,27.26280975341797,0,78162.39837646484,206032.443359375,432.45623779296875,16788910080,13421772800,12539756544,4235907072
200,1766837202591,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,50.764896392822266,0.384918212890625,53.75145721435547,0.1146240234375,19.30146026611328,4.6139678955078125,0.11067962646484375,0.109832763671875,30.234909057617188,80.22193908691406,86.3805160522461,29.947006225585938,48.9490966796875,0.13072967529296875,0.5173492431640625,82.31202697753906,82.13749694824219,3.9186477661132813,0.10898590087890625,55.54500961303711,0,78167.91815185547,206036.7393798828,432.4573974609375,16788910080,13421772800,12574904320,4254437376
200,1766837202792,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,36.14173889160156,0.18025970458984375,35.77168273925781,0.16593170166015625,9.769386291503906,3.8682632446289063,0.16024017333984375,0.1600341796875,38.7778434753418,76.67455291748047,57.977413177490234,39.79978561401367,31.6754150390625,0.17511749267578125,0.1970367431640625,63.777069091796875,69.91691589355469,6.3026885986328125,0.16748046875,29.56232452392578,0,78172.41271972656,206040.1103515625,432.46038818359375,16788910080,13421772800,12568977408,4249755648
200,1766837202992,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,25.532196044921875,0.0448760986328125,31.38470458984375,0.041778564453125,6.596366882324219,3.33074951171875,0.0358428955078125,0.0356903076171875,14.877098083496094,79.52210998535156,65.99040222167969,26.41655731201172,37.14263153076172,0.05810546875,0.08855438232421875,76.13435363769531,61.96302032470703,4.609405517578125,0.04053497314453125,32.22205352783203,0,78176.37139892578,206042.91986083984,432.46466064453125,16788910080,13421772800,12607070208,4914974720
199,1766837203192,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,29.208396911621094,0.0377960205078125,39.17881393432617,0,1.1137924194335938,0,0,0,0.9035186767578125,82.94532775878906,71.69562530517578,25.810325622558594,34.16522979736328,0.0474700927734375,0.104461669921875,79.80076599121094,60.47727966308594,4.1416778564453125,0.00843048095703125,36.441829681396484,0,78180.3550415039,206045.73541259766,432.46624755859375,16788910080,13421772800,12621418496,4911894528
200,1766837203392,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,40.15842056274414,0.37183380126953125,55.59703063964844,0.311492919921875,0.528656005859375,2.6060867309570313,0.32369232177734375,0.31154632568359375,2.2145538330078125,74.28941345214844,71.0725326538086,43.299713134765625,48.03147506713867,0.31229400634765625,0.312347412109375,80.44137573242188,79.9317626953125,1.124053955078125,0.3111419677734375,44.703765869140625,0,78186.03942871094,206050.31158447266,432.46624755859375,16788910080,13421772800,12621455360,4897443840
200,1766837203593,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,23.401512145996094,0.12052154541015625,28.0242919921875,0.11063385009765625,0.11612701416015625,0.11652374267578125,0.1146240234375,0.1799774169921875,0.23989105224609375,60.05119323730469,64.48326110839844,53.05828857421875,26.5150146484375,0.130950927734375,1.9826126098632813,75.4036865234375,60.579097747802734,4.6346588134765625,0.11767578125,26.287261962890625,0,78190.10473632813,206053.26666259766,432.46624755859375,16788910080,13421772800,12623917056,4897779712
200,1766837203793,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,35.074790954589844,0.0890655517578125,47.7408332824707,0.05092620849609375,0.5393447875976563,0.22646331787109375,0.0464324951171875,0.04633331298828125,17.641990661621094,60.31401062011719,48.179725646972656,34.256866455078125,33.675537109375,0.062957763671875,0.26505279541015625,77.7451171875,70.35892486572266,4.437156677246094,0.05831146240234375,32.57563781738281,0,78194.44537353516,206056.50024414063,432.4677734375,16788910080,13421772800,12648460288,4901425152
200,1766837203994,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,43.19652557373047,0.03643798828125,64.38105773925781,0.04332733154296875,21.346267700195313,0.04412841796875,0.04363250732421875,0.043426513671875,44.250022888183594,77.3351058959961,64.81175994873047,61.648712158203125,42.61600875854492,0.15470123291015625,0.1018829345703125,84.46585845947266,78.56842041015625,1.2265243530273438,0.04402923583984375,44.62791442871094,0,78199.96789550781,206060.88305664063,432.4677734375,16788910080,13421772800,12668575744,4919275520
200,1766837204194,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,27.130767822265625,0.3478546142578125,35.40501403808594,0.33359527587890625,0.9723587036132813,0.34645843505859375,0.34476470947265625,0.34346771240234375,26.38414764404297,90.0706558227539,66.1637191772461,61.310367584228516,26.201797485351563,0.35015106201171875,0.359619140625,66.39888000488281,70.6279296875,0.7726516723632813,0.3350372314453125,25.4515380859375,0,78204.47216796875,206064.30517578125,432.46820068359375,16788910080,13421772800,12663603200,4918804480
200,1766837204394,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,13.186592102050781,0.05164337158203125,21.586273193359375,0.03835296630859375,4.4422607421875,0.0457000732421875,0.04534912109375,0.04270172119140625,27.24431610107422,91.92063903808594,87.92401123046875,61.53384780883789,10.3770751953125,0.05568695068359375,2.4220199584960938,50.292083740234375,73.21919250488281,2.4260177612304688,0.05084228515625,13.370429992675781,0,78207.32391357422,206066.06213378906,432.46820068359375,16788910080,13421772800,12663795712,4920180736
200,1766837204595,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,21.019882202148438,0.25370025634765625,38.3891716003418,0.17633056640625,0.21274566650390625,0.17972564697265625,0.17962646484375,0.18012237548828125,6.871299743652344,44.34623718261719,44.7827033996582,20.919021606445313,24.379310607910156,0.33994293212890625,1.0905609130859375,69.885498046875,61.926578521728516,1.367706298828125,0.215240478515625,28.423965454101563,0,78210.79791259766,206068.4627685547,432.4720458984375,16788910080,13421772800,12695556096,4929290240
200,1766837204795,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,20.841659545898438,0.23026275634765625,32.522064208984375,0.2331085205078125,0.2298126220703125,0.215362548828125,0.21526336669921875,0.2152099609375,0.215057373046875,32.97361755371094,20.369407653808594,35.05951690673828,26.88433074951172,0.23021697998046875,1.3087081909179688,74.57069396972656,78.4129638671875,1.4440078735351563,0.24127960205078125,39.323081970214844,0,78214.2924194336,206070.88385009766,432.47314453125,16788910080,13421772800,12722806784,4943237120
200,1766837204996,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,23.430816650390625,0,43.07649230957031,0,0,0,0,0,1.3028640747070313,46.52936935424805,52.03242874145508,23.680465698242188,28.22016143798828,0,0,82.18830871582031,86.2842788696289,5.39483642578125,0,31.571212768554688,0,78218.4663696289,206073.89141845703,432.4754638671875,16788910080,13421772800,12760010752,4957462528
200,1766837205196,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,41.40339279174805,0.1223602294921875,62.36761474609375,0.113677978515625,0.117767333984375,0.1048431396484375,0.1046905517578125,0.1045379638671875,0.10443878173828125,87.4949951171875,17.62975311279297,0.24367523193359375,38.22014236450195,0.1137237548828125,0.14178466796875,83.58689880371094,84.48882293701172,0.8521041870117188,0.11362457275390625,53.488136291503906,0,78223.2197265625,206077.51983642578,432.47686767578125,16788910080,13421772800,12797263872,4980269056
200,1766837205396,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,37.694759368896484,0,33.61778259277344,0,2.8685684204101563,2.6276702880859375,2.1496047973632813,1.5224380493164063,2.9011154174804688,52.45522689819336,29.92931365966797,2.8661270141601563,39.200077056884766,0.6306076049804688,0.02800750732421875,66.58688354492188,78.73715209960938,4.7061920166015625,0.12773895263671875,40.83108901977539,0,78227.37725830078,206080.5987548828,432.4779052734375,16788910080,13421772800,12814618624,5018296320
200,1766837205597,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,33.633636474609375,0.6520156860351563,23.326629638671875,0.6327590942382813,21.06208038330078,1.7445602416992188,5.070777893066406,0.6515655517578125,29.823646545410156,40.59661865234375,39.509613037109375,69.62325286865234,27.29718017578125,0.7191009521484375,0.7603988647460938,63.033809661865234,70.08866882324219,3.1819229125976563,0.64727783203125,24.216514587402344,0,78231.50494384766,206083.59405517578,432.4783935546875,16788910080,13421772800,12867457024,5033762816
200,1766837205797,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,55.53831100463867,0,52.994808197021484,0,0,0,0,0,0,62.06307601928711,5.929115295410156,0,53.71975326538086,0,0.9174423217773438,84.9823989868164,86.12828063964844,1.15301513671875,0,67.29605102539063,0,78236.71600341797,206087.732421875,432.47882080078125,16788910080,13421772800,12878614528,5039435776
