Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1766838553078,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0,0,0,0,0,0,14.936668395996094,1.1056060791015625,0,0,0,0,0,0,87.4107666015625,0,86.19479370117188,0,0,0,0,90553.51586914063,212024.59350585938,435.48101806640625,16788910080,13421772800,12740915200,4031950848
200,1766838553078,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,40.33980178833008,17.54206085205078,17.628005981445313,17.62139129638672,63.2300910949707,16.86113739013672,100,77.26506042480469,16.289291381835938,16.282684326171875,16.282684326171875,16.27606964111328,18.599807739257813,17.53875732421875,84.6692886352539,17.194992065429688,96.00039672851563,17.631309509277344,17.631309509277344,17.628005981445313,0,90553.5336303711,212024.67407226563,435.48101806640625,16788910080,13421772800,12742029312,4031950848
200,1766838553278,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2.5131759643554688,0.7227859497070313,8.193679809570313,0.7038497924804688,3.3733062744140625,1.2041015625,28.425674438476563,13.671974182128906,10.115447998046875,0.7606658935546875,0.7410812377929688,0.7410812377929688,17.585052490234375,0.7155303955078125,60.89385986328125,0.7671737670898438,32.78954315185547,0.703155517578125,12.919960021972656,0.7017593383789063,0,90555.4935913086,212025.54779052734,435.48602294921875,16788910080,13421772800,12788396032,4209295360
200,1766838553479,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1.1958847045898438,0.19881439208984375,15.720703125,0.2064971923828125,0.2063446044921875,0.2061920166015625,0.35604095458984375,0.20599365234375,0.2059478759765625,0.20589447021484375,0.2057952880859375,0.20569610595703125,43.04344177246094,0.20355224609375,78.35533142089844,0.25351715087890625,72.40225219726563,0.21552276611328125,32.538307189941406,0.20993804931640625,0,90558.44024658203,212027.54150390625,435.48602294921875,16788910080,13421772800,12817747968,4217475072
200,1766838553679,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.6123886108398438,0.0706329345703125,32.27848815917969,0.13162994384765625,0.0747833251953125,0.0751800537109375,0.6063385009765625,0.6141357421875,0.0744781494140625,0.07468414306640625,0.07403564453125,0.0740814208984375,52.591590881347656,0.0611419677734375,81.07307434082031,0.099609375,81.2657470703125,0.08037567138671875,46.24912643432617,0.138519287109375,0,90562.0619506836,212030.18603515625,435.48681640625,16788910080,13421772800,12860993536,4234502144
200,1766838553879,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.36540985107421875,0.12408447265625,5.8810577392578125,0.13011932373046875,0.1274261474609375,0.12732696533203125,0.12722015380859375,0.12697601318359375,0.1268768310546875,0.12682342529296875,0.12682342529296875,0.1267242431640625,34.80249786376953,0.2484588623046875,73.37701416015625,0.1323089599609375,61.87722396850586,0.13370513916015625,23.02008056640625,0.13979339599609375,0,90564.73406982422,212031.9585571289,435.489013671875,16788910080,13421772800,12865028096,4237774848
200,1766838554079,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,7.968505859375,0,26.766891479492188,0,0.599853515625,0.2557373046875,14.166938781738281,7.987091064453125,0,0,0,0,35.35503387451172,0,75.78768157958984,2.2675628662109375,64.98294067382813,2.423980712890625,32.69355010986328,0.1564178466796875,0,90567.96258544922,212034.21807861328,435.49481201171875,16788910080,13421772800,12889243648,4891738112
200,1766838554280,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,3.3295440673828125,0.1181182861328125,25.28362274169922,0.12155914306640625,0.14138031005859375,0.12116241455078125,10.795440673828125,0.469024658203125,0.128448486328125,0.12834930419921875,0.128204345703125,0.12810516357421875,38.589881896972656,0.126007080078125,76.51978302001953,0.12375640869140625,59.50381851196289,0.123809814453125,38.811241149902344,0.19295501708984375,0,90571.6196899414,212036.8778076172,435.49481201171875,16788910080,13421772800,12909170688,4902502400
199,1766838554480,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,12.402976989746094,0,44.417884826660156,0,0,0,0.11267852783203125,0,0,0,0,0,51.12357711791992,0,80.09814453125,1.001861572265625,81.49127197265625,0.14798736572265625,56.87181091308594,0,0,90576.74194335938,212040.88372802734,435.49481201171875,16788910080,13421772800,12932210688,4913164288
200,1766838554680,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,8.926887512207031,0.21987152099609375,18.936813354492188,0.28380584716796875,0.22966766357421875,0.22956085205078125,4.99267578125,0.228668212890625,0.22931671142578125,0.22931671142578125,0.228668212890625,0.22796630859375,32.64479064941406,0.215728759765625,78.82293701171875,1.0076141357421875,54.35824966430664,0.285003662109375,23.072418212890625,0.23345947265625,0,90579.734375,212042.95251464844,435.49481201171875,16788910080,13421772800,12939673600,4918501376
200,1766838554881,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.41414642333984375,0.00862884521484375,29.866592407226563,0.01422119140625,0.00214385986328125,0.0019989013671875,0.00189971923828125,0.0016937255859375,0.00159454345703125,0.0014495849609375,0.00135040283203125,0.0011444091796875,48.41605758666992,0.0108795166015625,85.02313995361328,0.037872314453125,79.9135971069336,0.0324859619140625,43.18526077270508,0.0097808837890625,0,90584.24591064453,212046.44818115234,435.49481201171875,16788910080,13421772800,12963700736,4927401984
199,1766838555081,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,27.813934326171875,0,45.322391510009766,0,0.00234222412109375,0.0022430419921875,0.0982818603515625,0.00135040283203125,0.00159454345703125,0.001800537109375,0.00139617919921875,0.0011444091796875,56.362491607666016,0.00489044189453125,84.24195861816406,1.9881591796875,83.37181854248047,0.710968017578125,67.3685531616211,0,0,90589.05047607422,212050.1981201172,435.49481201171875,16788910080,13421772800,12985098240,4941422592
