Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1766841178892,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.8761367797851563,0.2251434326171875,12.289634704589844,0,0,0,4.222869873046875,0,0,0,0,0,4.575431823730469,0.22052001953125,18.44104766845703,0.13600921630859375,75.68152618408203,0.059417724609375,0.4410400390625,0.056121826171875,0,113718.43701171875,222969.93127441406,441.15533447265625,16788910080,13421772800,13151813632,4276400128
200,1766841178892,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,113718.50036621094,222969.98565673828,441.15533447265625,16788910080,13421772800,13151895552,4276400128
200,1766841179092,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.843017578125,0.7844696044921875,7.89764404296875,0.7786178588867188,2.1334686279296875,0.773406982421875,10.079338073730469,9.540359497070313,0.7804489135742188,0.7805023193359375,0.7805023193359375,0.7806015014648438,23.906570434570313,0.7908706665039063,62.8106689453125,0.79473876953125,53.25730514526367,0.803375244140625,25.85784912109375,0.7830352783203125,0,113721.01135253906,222971.48822021484,441.16162109375,16788910080,13421772800,13187190784,4447764480
200,1766841179293,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,1.08062744140625,0.15293121337890625,2.5889968872070313,0.08539581298828125,0.085296630859375,0.08519744873046875,0.17279052734375,0.0849456787109375,0.08484649658203125,0.084747314453125,0.08464813232421875,0.0845489501953125,43.61479568481445,0.16036224365234375,71.82362365722656,0.10945892333984375,68.34515380859375,0.09233856201171875,33.671363830566406,0.0882415771484375,0,113724.06939697266,222973.5874633789,441.163330078125,16788910080,13421772800,13207154688,4454768640
200,1766841179493,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,24.081527709960938,0.057952880859375,33.87205505371094,0.04647064208984375,0.6824951171875,0.04766845703125,19.573776245117188,1.0909576416015625,0.0481719970703125,0.0480194091796875,0.047119140625,0.04701995849609375,47.44670867919922,0.080963134765625,80.24263000488281,0.0537109375,81.03704071044922,0.04976654052734375,33.289093017578125,0.07537078857421875,0,113728.0541381836,222976.56225585938,441.163330078125,16788910080,13421772800,13249323008,4472102912
199,1766841179694,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,6.318199157714844,0.2774810791015625,20.92931365966797,0.26361083984375,0.25849151611328125,0.25888824462890625,8.654243469238281,1.5923538208007813,0.25853729248046875,0.25849151611328125,0.25798797607421875,0.257293701171875,36.72123336791992,0.27410125732421875,71.66427612304688,0.291412353515625,65.8619613647461,0.5978851318359375,21.600997924804688,0.2463531494140625,0,113731.02038574219,222978.52392578125,441.16729736328125,16788910080,13421772800,13256069120,4480290816
200,1766841179894,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,4.907264709472656,0.0850067138671875,34.786895751953125,0.09728240966796875,3.8139801025390625,0.19918060302734375,9.027580261230469,3.3019485473632813,0.17176055908203125,0.14745330810546875,0.14565277099609375,0.14620208740234375,36.48774337768555,0.068817138671875,75.54862976074219,0.302581787109375,59.780372619628906,0.09583282470703125,42.12571716308594,0.089263916015625,0,113734.60369873047,222981.18768310547,441.17242431640625,16788910080,13421772800,13281386496,5135704064
199,1766841180094,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,6.75128173828125,0.1553802490234375,25.120399475097656,0.154632568359375,2.0875167846679688,0.15627288818359375,16.679611206054688,11.959358215332031,0.17128753662109375,0.17108154296875,0.17023468017578125,0.1703338623046875,46.977474212646484,0.1516876220703125,72.01051330566406,0.935455322265625,66.36397552490234,0.16091156005859375,42.74114990234375,0.16016387939453125,0,113738.26318359375,222983.76342773438,441.17242431640625,16788910080,13421772800,13307219968,5148770304
200,1766841180294,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,23.450340270996094,0.13761138916015625,55.28513717651367,0.15785980224609375,5.548370361328125,27.525848388671875,12.188743591308594,44.598243713378906,0.8756637573242188,0.9554443359375,0.6964645385742188,0.6387786865234375,47.57719802856445,0.1338653564453125,82.1482162475586,1.0570144653320313,83.05642700195313,0.498565673828125,55.40190887451172,0.205047607421875,0,113742.98565673828,222987.4375,441.1737060546875,16788910080,13421772800,13338087424,5161050112
199,1766841180495,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,7.4940338134765625,0,18.55634307861328,0,0,0.284881591796875,15.233871459960938,0,0,0,0,0,28.649169921875,0,70.64077758789063,1.3728866577148438,63.19290542602539,0,23.128875732421875,0,0,113745.82836914063,222989.29724121094,441.17401123046875,16788910080,13421772800,13340028928,5162364928
200,1766841180695,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.895660400390625,0.48748016357421875,24.45867156982422,0.52386474609375,0.5318984985351563,0.5319442749023438,0.8852310180664063,0.5327987670898438,0.531646728515625,0.555755615234375,0.5316009521484375,0.5324478149414063,39.335243225097656,0.48883056640625,84.78571319580078,0.8739013671875,69.75688171386719,0.48468780517578125,44.37858963012695,0.5256576538085938,0,113749.3588256836,222991.84118652344,441.17401123046875,16788910080,13421772800,13363179520,5168087040
199,1766841180896,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,17.11585235595703,0.02866363525390625,60.56663513183594,0.026123046875,0.02263641357421875,0.0225372314453125,0.05095672607421875,0.03704071044921875,0.02213287353515625,0.098419189453125,0.0218353271484375,0.02169036865234375,53.85418701171875,0.0283660888671875,84.34353637695313,2.1025848388671875,87.38621520996094,0.050750732421875,62.458683013916016,0.0301666259765625,0,113753.89294433594,222995.3451538086,441.17401123046875,16788910080,13421772800,13378924544,5187690496
199,1766841181096,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,0.6362686157226563,0.21593475341796875,9.218826293945313,0.23967742919921875,0.2227325439453125,0.2227325439453125,0.2352294921875,0.22263336181640625,0.2225341796875,0.22248077392578125,0.22248077392578125,0.222381591796875,18.739540100097656,0.21303558349609375,68.23168182373047,0.2381744384765625,52.7218017578125,0.22847747802734375,18.73589324951172,0.22393035888671875,0,113756.3716430664,222996.88153076172,441.17401123046875,16788910080,13421772800,13380222976,5184978944
199,1766841181296,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,19.37976837158203,0.26465606689453125,23.545249938964844,0.9262847900390625,5.733909606933594,4.1967620849609375,11.824066162109375,6.181060791015625,0.0159912109375,0.031829833984375,0.0157928466796875,0.0150909423828125,34.301063537597656,0.11783599853515625,60.13498306274414,11.820220947265625,86.09619140625,7.421272277832031,25.56732177734375,3.716278076171875,0,113759.75402832031,222999.2543334961,441.17425537109375,16788910080,13421772800,13398347776,5206470656
199,1766841181496,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,50.72784423828125,1.5979690551757813,42.47378921508789,5.640586853027344,11.655235290527344,1.6470413208007813,35.27711486816406,22.665794372558594,0.05837249755859375,0.04742431640625,0.0317840576171875,0.0321807861328125,47.11741256713867,0.23238372802734375,77.43065643310547,31.63794708251953,79.89550018310547,19.056365966796875,42.59852600097656,13.779296875,0,113764.65350341797,223003.0126953125,441.1787109375,16788910080,13421772800,13443276800,5230751744
200,1766841181696,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,76.98005676269531,6.137351989746094,87.43580627441406,26.775650024414063,10.8843994140625,3.575439453125,21.938018798828125,7.177154541015625,2.1247787475585938,0.79302978515625,0.154937744140625,0.15499114990234375,79.5772933959961,3.6350936889648438,93.2234115600586,40.286964416503906,83.95525360107422,47.1057243347168,86.20299530029297,31.794754028320313,0,113771.79821777344,223009.06866455078,441.1787109375,16788910080,13421772800,13486125056,5253193728
200,1766841181896,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,77.43948364257813,4.504241943359375,79.14137268066406,16.702606201171875,4.748390197753906,0.36479949951171875,8.970535278320313,9.538124084472656,0.28095245361328125,0.10211944580078125,0.102020263671875,0.101776123046875,79.84010314941406,0.46427154541015625,88.00857543945313,34.4000244140625,86.49376678466797,25.832740783691406,77.56548309326172,18.513198852539063,0,113778.42559814453,223014.58367919922,441.18206787109375,16788910080,13421772800,13540564992,5297123328
199,1766841182097,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,2300,82.39744567871094,0.01677703857421875,81.46639251708984,0.0459747314453125,2.016357421875,0.3068695068359375,9.798477172851563,5.331489562988281,0.00759124755859375,0.02266693115234375,0.0076904296875,0.007537841796875,74.51722717285156,0.02306365966796875,89.13753509521484,15.9375,90.14276885986328,14.420616149902344,85.0461654663086,1.0551071166992188,0,113784.45050048828,223019.84631347656,441.18414306640625,16788910080,13421772800,13565747200,5307011072
