Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765794536526,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0,0.5324935913085938,0,0,0,0,0,0,0,0,0,0,0,33.19226837158203,30.67742919921875,3.0602798461914063,31.30730438232422,62.5747184753418,0,0,0,16974.988220214844,10500.703735351563,35.40704345703125,16788910080,12884901888,11027427328,0
199,1765794536526,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,3.8674697875976563,5.940711975097656,2.98779296875,2.98779296875,2.9819793701171875,2.9781036376953125,2.9742279052734375,2.9722900390625,2.96453857421875,2.9567947387695313,2.9529190063476563,2.9587326049804688,3.8539047241210938,79.908935546875,91.43770599365234,3.3210601806640625,71.615966796875,97.9267578125,58.72698974609375,2.991668701171875,0,16975.041564941406,10500.727661132813,35.40716552734375,16788910080,12884901888,11027464192,0
199,1765794536727,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0.7304763793945313,0.5810928344726563,4.721305847167969,0,0,0,0,0,0,0,0,0,0,20.21904754638672,50.3311653137207,12.227531433105469,22.570899963378906,70.93082427978516,12.013504028320313,0,0,16976.64373779297,10501.470275878906,35.41082763671875,16788910080,12884901888,11043536896,0
200,1765794536927,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,1.1525726318359375,1.0713424682617188,6.691505432128906,0.16201019287109375,0,0,0,0,0,0,0,0,0,24.296104431152344,70.55955505371094,30.386962890625,50.60831069946289,81.49995422363281,13.764816284179688,0,0,16978.349487304688,10502.346069335938,35.41082763671875,16788910080,12884901888,11060506624,0
199,1765794537127,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,1.6533050537109375,0.27346038818359375,3.542327880859375,0.10324859619140625,0.0638580322265625,0.0638580322265625,0.06380462646484375,0.0637054443359375,0.0637054443359375,0.06365203857421875,0.06360626220703125,0.06360626220703125,0.0689697265625,15.059364318847656,75.23493194580078,31.843658447265625,55.040931701660156,81.30809020996094,9.694427490234375,0.07086944580078125,0,16980.099853515625,10503.3447265625,35.41082763671875,16788910080,12884901888,11065929728,0
200,1765794537328,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,14.818168640136719,62.4228515625,20.570831298828125,60.84284591674805,86.17151641845703,0.5464019775390625,0,0,16981.79022216797,10504.134460449219,35.41082763671875,16788910080,12884901888,11072262144,0
204,1765794537529,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0,0,1.9258346557617188,0,0,0,0,0,0,0,0,0,0,1.2242355346679688,87.76764678955078,40.99557113647461,60.19721221923828,95.46918487548828,0.20224761962890625,0,0,16983.67742919922,10505.184204101563,35.41082763671875,16788910080,12884901888,11081109504,0
199,1765794537735,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6659011840820313,79.71217346191406,50.13051223754883,74.49856567382813,87.970703125,0.09030914306640625,0,0,16985.484985351563,10506.159912109375,35.41485595703125,16788910080,12884901888,11095851008,0
206,1765794537936,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,9.447677612304688,0,0,0,0,0,0,0,0,0,0,0,0,17.82587432861328,96.57771301269531,69.99298095703125,73.95338439941406,98.24501037597656,7.226631164550781,0,0,16987.627197265625,10507.352661132813,35.41485595703125,16788910080,12884901888,11099312128,0
193,1765794538149,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,11.821395874023438,2.842926025390625,17.5118408203125,4.908760070800781,4.325874328613281,4.325775146484375,4.325584411621094,4.325531005859375,4.3254852294921875,4.325386047363281,4.325286865234375,4.325141906738281,0,18.729530334472656,98.82831573486328,97.96614837646484,93.29942321777344,99.77787017822266,11.043365478515625,4.325874328613281,0,16989.63153076172,10508.449157714844,35.4207763671875,16788910080,12884901888,11101077504,0
200,1765794538343,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,15.389396667480469,5.1466217041015625,9.973739624023438,4.442283630371094,4.3367156982421875,4.3367767333984375,4.336883544921875,4.336944580078125,4.336997985839844,4.3371124267578125,4.337165832519531,4.337226867675781,3.9518890380859375,25.47943115234375,87.71694946289063,59.854286193847656,70.84990692138672,93.91091918945313,12.319976806640625,4.3443603515625,0,16991.10089111328,10509.206909179688,35.423095703125,16788910080,12884901888,11106799616,0
199,1765794538543,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0,0.08304595947265625,1.6234817504882813,0,0,0,0,0,0,0,0,0,0,11.430961608886719,69.35907745361328,22.341079711914063,45.77493667602539,90.91439056396484,2.0576400756835938,0,0,16992.87078857422,10510.158508300781,35.42333984375,16788910080,12884901888,11108225024,0
200,1765794538743,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0.01906585693359375,0.540008544921875,0.41530609130859375,0,0,0,0,0,0,0,0,0,0.01851654052734375,7.2648162841796875,80.32794952392578,32.11266326904297,43.946475982666016,89.96695709228516,6.367713928222656,0,0,16994.448181152344,10510.886962890625,35.42620849609375,16788910080,12884901888,11108384768,0
200,1765794538944,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0,0.38770294189453125,2.6292953491210938,0,0,0,0,0,0,0,0,0,0,3.8863906860351563,69.87374114990234,9.458503723144531,25.378372192382813,79.9802017211914,1.1510086059570313,0,0,16996.016723632813,10511.631042480469,35.43035888671875,16788910080,12884901888,11113078784,0
200,1765794539144,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9740829467773438,88.12602233886719,1.0432815551757813,16.207374572753906,84.07083129882813,0,0,0,16998.641723632813,10513.373229980469,35.43035888671875,16788910080,12884901888,11114569728,0
200,1765794539345,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0.3837127685546875,1.1254653930664063,10.474029541015625,8.091590881347656,8.091690063476563,8.091743469238281,8.091796875,8.091842651367188,8.091690063476563,8.091285705566406,8.091285705566406,8.091232299804688,0.353057861328125,4.6282501220703125,71.4052734375,15.989036560058594,32.26139831542969,74.62874603271484,9.504844665527344,8.091590881347656,0,17000.120361328125,10514.142883300781,35.43316650390625,16788910080,12884901888,11122196480,0
199,1765794539545,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0.2914276123046875,0.4548492431640625,3.1980667114257813,0.17356109619140625,0.1734161376953125,0.1732635498046875,0.17311859130859375,0.1730194091796875,0.17272186279296875,0.17252349853515625,0.17232513427734375,0.172119140625,0.190521240234375,5.196990966796875,71.30513763427734,32.41307830810547,50.76711654663086,84.52156066894531,1.5822219848632813,0.17386627197265625,0,17001.822509765625,10514.981628417969,35.43780517578125,16788910080,12884901888,11126730752,0
195,1765794539749,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0.07714080810546875,0.5702133178710938,1.8118362426757813,0.0598602294921875,0.05976104736328125,0.05971527099609375,0.05956268310546875,0.0593719482421875,0.059173583984375,0.059173583984375,0.05907440185546875,0.05907440185546875,0.07645416259765625,19.55791473388672,56.01720428466797,29.695144653320313,52.85247039794922,70.35911560058594,0.8628311157226563,0.06000518798828125,0,17003.30517578125,10515.604797363281,35.4420166015625,16788910080,12884901888,11129970688,0
199,1765794539945,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0.03446197509765625,0.182769775390625,0.756805419921875,0.07704925537109375,0.0778656005859375,0.077911376953125,0.077911376953125,0.07807159423828125,0.07826995849609375,0.07826995849609375,0.07837677001953125,0.0784759521484375,0.0073089599609375,3.4992523193359375,67.0770492553711,36.20513153076172,42.59121322631836,69.77174377441406,1.7802276611328125,0.06850433349609375,0,17004.818298339844,10516.330932617188,35.44268798828125,16788910080,12884901888,11134763008,0
200,1765794540146,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,24.59625244140625,15.750228881835938,27.136077880859375,7.762916564941406,0,0.33980560302734375,0,1.7586669921875,0,0,0,0,7.2631378173828125,45.84545135498047,65.70246887207031,28.661087036132813,35.08990478515625,62.24726104736328,21.232467651367188,5.8197479248046875,0,17006.893676757813,10517.378356933594,35.44329833984375,16788910080,12884901888,11184275456,0
200,1765794540346,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,35.629638671875,9.980827331542969,74.74137878417969,34.407684326171875,3.479949951171875,3.1425399780273438,2.810394287109375,2.3158416748046875,0.12456512451171875,0,0,0,4.955146789550781,44.76691818237305,85.66685485839844,46.15489959716797,47.307830810546875,79.61997985839844,44.43968963623047,0.37931060791015625,0,17009.27392578125,10518.691711425781,35.4442138671875,16788910080,12884901888,11181142016,0
199,1765794540547,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,31.511016845703125,8.83837890625,76.14647674560547,55.167823791503906,37.10930633544922,4.7892913818359375,0,2.0091781616210938,0,7.033241271972656,0,0,2.2449493408203125,40.51829528808594,75.91486358642578,47.35721969604492,51.59294891357422,90.5985336303711,60.29957580566406,5.856620788574219,0,17011.738159179688,10520.186096191406,35.4488525390625,16788910080,12884901888,11186212864,0
199,1765794540747,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,27.969436645507813,1.6204605102539063,55.25491714477539,3.6294937133789063,1.3871231079101563,1.89532470703125,0.500579833984375,6.258331298828125,0.25023651123046875,11.961868286132813,0,0,0.40131378173828125,24.300315856933594,72.94855499267578,13.8724365234375,35.900794982910156,78.7581787109375,63.34016036987305,0,0,17014.036743164063,10521.452819824219,35.45184326171875,16788910080,12884901888,11189202944,0
200,1765794540947,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,39.697330474853516,0,40.588905334472656,2.6400833129882813,0.0869903564453125,0,0,2.3174896240234375,0,0,0,0,0,39.26502990722656,51.09394073486328,3.5573348999023438,30.559043884277344,75.13447570800781,65.18458557128906,0,0,17016.028442382813,10522.432434082031,35.45208740234375,16788910080,12884901888,11196219392,0
199,1765794541148,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,49.95261001586914,5.3934783935546875,71.43988037109375,22.549232482910156,12.057884216308594,17.27649688720703,9.577491760253906,4.167213439941406,2.7919464111328125,4.001457214355469,0,0,2.9404983520507813,72.63858795166016,84.34545135498047,28.099411010742188,37.757179260253906,86.95323181152344,76.73607635498047,1.4370346069335938,0,17019.074279785156,10524.317199707031,35.45428466796875,16788910080,12884901888,11242491904,0
199,1765794541348,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,22.0814208984375,0.6598434448242188,45.2852668762207,4.12786865234375,8.206855773925781,6.7591705322265625,0.22084808349609375,14.292579650878906,0.1505279541015625,0.1492767333984375,0.1491241455078125,0.17803955078125,0.4948577880859375,40.040184020996094,76.21456146240234,12.766639709472656,20.189071655273438,74.75467681884766,38.50973129272461,0.5820465087890625,0,17021.40496826172,10525.698852539063,35.4561767578125,16788910080,12884901888,11288625152,0
200,1765794541549,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,0.35584259033203125,0.3891143798828125,2.0706558227539063,0.140533447265625,0.140533447265625,0.14048004150390625,0.14043426513671875,0.1403350830078125,0.1403350830078125,0.14028167724609375,0.14023590087890625,0.1401824951171875,0.154449462890625,8.795463562011719,62.61198806762695,22.826065063476563,43.69681167602539,43.42377853393555,1.847015380859375,0.14048004150390625,0,17022.76690673828,10526.191345214844,35.4573974609375,16788910080,12884901888,11202641920,0
200,1765794541749,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,16.30487060546875,14.588218688964844,17.795249938964844,1.598052978515625,2.1358489990234375,0,0,1.1851654052734375,0,0,0,0,0,16.034339904785156,78.93992614746094,61.111141204833984,64.24618530273438,83.38630676269531,39.26249313354492,0,0,17024.604736328125,10527.145568847656,35.4573974609375,16788910080,12884901888,11206864896,0
199,1765794541950,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,59.017967224121094,23.47222137451172,84.33012390136719,33.92753601074219,45.78240203857422,53.84590148925781,30.574066162109375,45.68083572387695,22.909011840820313,13.970787048339844,5.538246154785156,0.6592636108398438,6.660102844238281,65.368408203125,85.56857299804688,34.2557373046875,57.22202682495117,86.63941192626953,85.96497344970703,4.954200744628906,0,17027.358520507813,10528.840881347656,35.4573974609375,16788910080,12884901888,11207614464,0
201,1765794542150,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,55.306209564208984,7.8621063232421875,87.26483917236328,35.85480499267578,38.15616226196289,20.69306182861328,26.49341583251953,29.346275329589844,9.406463623046875,4.307525634765625,9.177627563476563,0.25582122802734375,2.7701873779296875,65.70316314697266,82.4197769165039,35.65446472167969,68.0035171508789,87.09268951416016,87.01787567138672,0.392669677734375,0,17029.89666748047,10530.344665527344,35.458251953125,16788910080,12884901888,11219951616,0
200,1765794542353,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,53.910125732421875,16.789756774902344,45.18482971191406,17.303009033203125,15.296676635742188,15.460334777832031,6.848762512207031,9.933998107910156,1.0392227172851563,4.597587585449219,0,0,15.792724609375,72.77473449707031,79.94947052001953,23.567337036132813,42.48601150512695,78.35657501220703,42.362037658691406,14.282546997070313,0,17032.366638183594,10531.761535644531,35.45892333984375,16788910080,12884901888,11299176448,0
203,1765794542555,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,93.3594741821289,88.02555847167969,93.36505889892578,89.04710388183594,0,0,0,0,0,0,0,0,88.21330261230469,96.4656753540039,99.35712432861328,93.127197265625,93.20375061035156,99.8418197631836,99.40677642822266,87.75961303710938,0,17037.121215820313,10534.8779296875,35.4600830078125,16788910080,12884901888,11308863488,0
201,1765794542760,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,100,100,99.97733306884766,99.90753936767578,0,0,0,0,0,0,0,0,99.78948974609375,100,99.98504638671875,99.9678955078125,99.98397827148438,99.96025085449219,99.98238372802734,99.81076049804688,0,17042.039184570313,10538.370971679688,35.4600830078125,16788910080,12884901888,11313352704,0
197,1765794542966,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,100,100,100,100,25.098236083984375,22.43524169921875,25.862281799316406,22.96880340576172,17.12975311279297,18.865982055664063,15.285934448242188,14.507461547851563,100,100,100,100,100,99.97310638427734,100,100,0,17045.697326660156,10540.948669433594,35.4600830078125,16788910080,12884901888,11322474496,0
200,1765794543164,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,99.95448303222656,99.92642974853516,99.98033142089844,99.95745849609375,49.676666259765625,54.780208587646484,51.37975311279297,60.43185806274414,52.43985366821289,47.262821197509766,42.96413040161133,50.332969665527344,100,99.96137237548828,99.96083068847656,99.89517211914063,99.9591064453125,99.97179412841797,99.98245239257813,99.92416381835938,0,17048.29766845703,10542.925598144531,35.4600830078125,16788910080,12884901888,11342675968,0
199,1765794543365,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,99.4398193359375,96.71634674072266,99.52619171142578,96.77742767333984,26.39690399169922,35.145957946777344,27.5177001953125,40.088958740234375,55.54145812988281,34.20909118652344,21.20740509033203,19.04143524169922,96.15088653564453,99.3779296875,99.85745239257813,97.46356201171875,99.65531921386719,99.60591888427734,99.63040161132813,92.62831115722656,0,17051.339599609375,10545.207397460938,35.4600830078125,16788910080,12884901888,11349581824,0
199,1765794543565,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,96.45501708984375,63.336578369140625,99.20426177978516,77.31361389160156,4.999961853027344,2.1735000610351563,4.507728576660156,2.0982284545898438,50.60335922241211,22.707901000976563,36.056663513183594,2.494842529296875,60.906890869140625,98.32235717773438,98.3740234375,79.0833969116211,79.56413269042969,98.31775665283203,97.54650115966797,45.9982795715332,0,17054.809204101563,10547.619262695313,35.4600830078125,16788910080,12884901888,11364728832,0
199,1765794543765,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,70.91252899169922,10.396392822265625,93.6563949584961,71.99510192871094,9.597709655761719,25.12152862548828,29.361412048339844,1.1902618408203125,21.813026428222656,0.2745513916015625,14.646224975585938,0.03983306884765625,3.076995849609375,75.0165023803711,90.8245620727539,30.225997924804688,76.57438659667969,91.71842956542969,79.72828674316406,8.405181884765625,0,17057.790954589844,10549.539245605469,35.4600830078125,16788910080,12884901888,11377418240,0
199,1765794543965,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,57.009647369384766,2.737701416015625,50.270992279052734,28.20862579345703,56.029541015625,18.4693603515625,4.2468414306640625,13.5491943359375,0.6146316528320313,0.28565216064453125,0.2857513427734375,0.28580474853515625,0,53.642906188964844,75.63975524902344,8.112197875976563,39.186946868896484,86.87822723388672,53.8970832824707,0,0,17060.364807128906,10551.030944824219,35.4600830078125,16788910080,12884901888,11368525824,0
199,1765794544166,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,34.366737365722656,6.536018371582031,60.40054702758789,10.742393493652344,29.117027282714844,12.600173950195313,7.741996765136719,31.363136291503906,18.160797119140625,13.321571350097656,54.99505615234375,0,6.395477294921875,35.309547424316406,78.99755096435547,33.70551300048828,50.19824981689453,81.72312927246094,64.36550903320313,6.189460754394531,0,17062.875244140625,10552.445556640625,35.4600830078125,16788910080,12884901888,11381682176,0
199,1765794544366,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,20.815261840820313,0.0855560302734375,55.01860427856445,0.10919952392578125,15.019943237304688,1.9963226318359375,0.5411300659179688,1.4079513549804688,2.525634765625,7.9220733642578125,100,0.09471893310546875,0.1024322509765625,41.356571197509766,87.45659637451172,2.94268798828125,15.866783142089844,84.07701873779297,38.785057067871094,0.097930908203125,0,17065.214599609375,10553.633544921875,35.4600830078125,16788910080,12884901888,11372867584,0
211,1765794544567,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,16.542152404785156,0,55.557456970214844,8.328422546386719,14.495742797851563,11.430770874023438,0,60.92131805419922,0,0,14.1690673828125,0,0,29.76329803466797,66.03325653076172,7.210014343261719,30.518310546875,78.46256256103516,31.91112518310547,0,0,17067.183532714844,10554.588623046875,35.4600830078125,16788910080,12884901888,11370676224,0
187,1765794544792,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,3.332733154296875,0,71.8620376586914,0,12.5152587890625,0,0,16.394546508789063,0,0,0,0,0,21.419830322265625,66.37205505371094,48.9900016784668,70.09196472167969,98.16189575195313,2.2511062622070313,0,0,17069.699951171875,10556.063354492188,35.46954345703125,16788910080,12884901888,11266895872,0
199,1765794544979,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,17.590476989746094,0.5313644409179688,100,0.0814971923828125,0,0,0,0,0,0,0,0,0,21.6337890625,74.9010009765625,60.6744270324707,71.73970794677734,78.11890411376953,4.8500213623046875,0,0,17071.802856445313,10557.358276367188,35.490966796875,16788910080,12884901888,11265585152,0
200,1765794545179,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,22.9219970703125,22.137550354003906,37.080753326416016,0.5004653930664063,0,0,0,0,0,0,0,0,0.083770751953125,31.45098876953125,65.53790283203125,29.78612518310547,49.01445770263672,78.53236389160156,20.59881591796875,0,0,17074.11199951172,10558.756286621094,35.49566650390625,16788910080,12884901888,11269722112,0
199,1765794545380,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,5.2782745361328125,0.47919464111328125,1.3264846801757813,0.46291351318359375,0.46286773681640625,0.46286773681640625,0.46286773681640625,0.46291351318359375,0.46286773681640625,0.4628143310546875,0.4627685546875,0.46271514892578125,0.4850616455078125,16.82610321044922,66.52820587158203,31.97100830078125,50.092796325683594,69.48821258544922,9.859664916992188,0.4692840576171875,0,17076.4560546875,10560.237487792969,35.49609375,16788910080,12884901888,11266801664,0
197,1765794545582,1506,2300,1506,1506,2300,2300,2300,2300,2300,2300,2300,2300,2300,1506,1506,2300,2300,1506,1506,2300,1.8052902221679688,0.07640838623046875,1.6077880859375,0,0,0,0,0,0,0,0,0,0,15.648994445800781,68.08202362060547,25.613731384277344,27.7666015625,82.42298126220703,20.536773681640625,0,0,17078.522888183594,10561.419677734375,35.497802734375,16788910080,12884901888,11257036800,0
