Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1765797822008,1506,2300,1506,1506,2300,1488,1488,2300,2300,1488,1488,2300,1506,1506,2300,2300,2300,1506,1506,1506,23.90705108642578,0.0028228759765625,0,0,0,0,0,0,0,0,0,0,0.00225830078125,0.00225830078125,68.07798767089844,13.649147033691406,31.193939208984375,0,0,0,0,47094.802307128906,26657.93377685547,94.19195556640625,16788910080,12884901888,12841791488,11907072
199,1765797822008,1506,2300,1506,1506,2300,1488,1488,2300,2300,1488,1488,2300,1506,1506,2300,2300,2300,1506,1506,1506,2.5866851806640625,2.5727386474609375,1.6839370727539063,1.68194580078125,1.6839370727539063,1.68792724609375,1.6899185180664063,1.6919097900390625,1.6919097900390625,1.6919097900390625,1.6939010620117188,1.6919097900390625,2.5647659301757813,2.562774658203125,100,29.916297912597656,100,16.24750518798828,1.6859283447265625,1.6839370727539063,0,47094.832763671875,26657.93377685547,94.19195556640625,16788910080,12884901888,12841795584,11907072
199,1765797822209,1506,2300,1506,1506,2300,1488,1488,2300,2300,1488,1488,2300,1506,1506,2300,2300,2300,1506,1506,1506,15.880027770996094,0,2.1444473266601563,3.1407928466796875,0,0,0,0,0,0,0,0,63.58649826049805,0,70.13027954101563,21.194351196289063,69.83885955810547,9.687728881835938,6.640312194824219,0,0,47096.77551269531,26658.981079101563,94.1978759765625,16788910080,12884901888,12860817408,383668224
200,1765797822409,1506,2300,1506,1506,2300,1488,1488,2300,2300,1488,1488,2300,1506,1506,2300,2300,2300,1506,1506,1506,2.5027084350585938,0,11.389884948730469,6.2554473876953125,0,0,0,0,0,0,0,0,10.128585815429688,0,77.20195007324219,20.12329864501953,80.03001403808594,8.101188659667969,2.1524124145507813,0,0,47098.95587158203,26660.32684326172,94.204345703125,16788910080,12884901888,12870496256,388075520
207,1765797822610,1506,2300,1506,1506,2300,1488,1488,2300,2300,1488,1488,2300,1506,1506,2300,2300,2300,1506,1506,1506,0.801025390625,0,0,0,0,0,0,0,0,0,0,0,2.1598358154296875,0,79.28218841552734,33.714820861816406,90.89298248291016,18.314537048339844,0,0,0,47101.684509277344,26662.241760253906,94.2064208984375,16788910080,12884901888,12889546752,397848576
203,1765797822818,1506,2300,1506,1506,2300,1488,1488,2300,2300,1488,1488,2300,1506,1506,2300,2300,2300,1506,1506,1506,2.801727294921875,0,0,0,0,0,0,0,0,0,0,0,7.695396423339844,0,88.11489868164063,35.779563903808594,86.00212860107422,23.33795166015625,2.0722885131835938,0,0,47104.54913330078,26664.21209716797,94.2064208984375,16788910080,12884901888,12910182400,410415104
199,1765797823022,1506,2300,1506,1506,2300,1488,1488,2300,2300,1488,1488,2300,1506,1506,2300,2300,2300,1506,1506,1506,2.2448501586914063,0,0,0,0,0,0,0,0,0,0,0,2.2759017944335938,0,90.92298889160156,32.977867126464844,88.55813598632813,21.533294677734375,0,0,0,47106.54217529297,26665.60723876953,94.20849609375,16788910080,12884901888,12920852480,411385856
200,1765797823222,1506,2300,1506,1506,2300,1488,1488,2300,2300,1488,1488,2300,1506,1506,2300,2300,2300,1506,1506,1506,2.7741241455078125,1.91552734375,3.4940567016601563,2.0619659423828125,2.0620193481445313,2.0620193481445313,2.0620651245117188,2.0620193481445313,2.0621719360351563,2.0622711181640625,2.0623703002929688,2.0623245239257813,56.47159194946289,1.915985107421875,81.6308364868164,39.40800094604492,77.80453491210938,23.211280822753906,21.951629638671875,2.0619659423828125,0,47108.26104736328,26666.79315185547,94.20849609375,16788910080,12884901888,12919582720,410853376
205,1765797823423,1506,2300,1506,1506,2300,1488,1488,2300,2300,1488,1488,2300,1506,1506,2300,2300,2300,1506,1506,1506,1.2080535888671875,0.0817413330078125,0.0791015625,0.078948974609375,0.078704833984375,0.07845306396484375,0.0783538818359375,0.07830047607421875,0.07810211181640625,0.07790374755859375,0.0777587890625,0.077606201171875,0.5571517944335938,0.08946990966796875,73.09129333496094,25.654693603515625,65.74530792236328,11.128204345703125,0.1335296630859375,0.079254150390625,0,47110.187072753906,26668.16729736328,94.20849609375,16788910080,12884901888,12928311296,412921856
196,1765797823632,1506,2300,1506,1506,2300,1488,1488,2300,2300,1488,1488,2300,1506,1506,2300,2300,2300,1506,1506,1506,0.9397735595703125,0,0,0,0,0,0,0,0,0,0,0,0,0,79.34737396240234,40.918678283691406,78.43775939941406,22.16120147705078,0,0,0,47112.791442871094,26670.09796142578,94.20977783203125,16788910080,12884901888,12949049344,422805504
